Frequenza - Plot 0	Numero casi - Plot 0	
0.001	80	
0.001	0	
0.00100001	0	
0.00100001	0	
0.00100001	0	
0.00100001	0	
0.00100002	0	
0.00100002	0	
0.00100002	0	
0.00100002	0	
0.00100003	0	
0.00100003	0	
0.00100003	0	
0.00100003	0	
0.00100004	0	
0.00100004	0	
0.00100004	0	
0.00100004	0	
0.00100005	0	
0.00100005	20	
