Durata - Plot 0	Numero casi - Plot 0	
0.000333351	64	
0.000333354	0	
0.000333356	0	
0.000333359	0	
0.000333361	0	
0.000333364	0	
0.000333366	0	
0.000333369	0	
0.000333371	0	
0.000333374	0	
0.000333376	0	
0.000333379	0	
0.000333381	0	
0.000333384	0	
0.000333386	0	
0.000333389	0	
0.000333391	0	
0.000333394	0	
0.000333396	0	
0.000333399	36	
