*Input voltage 	AM2	VF2	VF1	AM1
0	2,49141275350532E-5	0,00548110805771172	0,0144724225449534	2,49758865891181E-5
0,05	0,000236289292472353	0,0519836443439177	0,137069405422772	0,000236349333164299
0,1	0,000463558962889263	0,101982971835638	0,268885832161286	0,000463619053306274
0,15	0,000690828647863427	0,151982302529954	0,400702267343586	0,000690888787971744
0,2	0,000918098340199068	0,201981634843795	0,532518706795833	0,00091815853005528
0,25	0,00114536803719218	0,251980968182279	0,664335148949597	0,00114542827677155
0,3	0,00137263773747483	0,301980302244462	0,796151593011426	0,0013726980267279
0,35	0,00159990744024093	0,351979636853006	0,927968038513757	0,00159996777924221
0,4	0,00182717714496808	0,401978971892978	1,05978448515357	0,00182723753368919
0,45	0,00205444685129479	0,451978307284853	1,19160093272119	0,00205450728972778
0,5	0,00228171655895862	0,501977642970895	1,3234173810644	0,0022817770471022
0,55	0,0025089862677619	0,551976978907619	1,45523383006853	0,0025090468056419
0,6	0,00273625597755135	0,601976315061298	1,58705027964468	0,0027363165650911
0,65	0,00296352568820524	0,651975651405154	1,71886672972224	0,00296358632547822
0,7	0,00319079539962501	0,701974987917502	1,85068318024404	0,0031908560866043
0,75	0,0034180651117295	0,751974324580489	1,982499631163	0,00341812584846934
0,8	0,00364533482445095	0,801973661379209	2,11431608243983	0,00364539561090282
0,85	0,00387260453773204	0,851972998301049	2,24613253404127	0,00387266537390474
0,9	0,00409987425152398	0,901972335335276	2,37794898593902	0,00409993513738982
0,95	0,00432714396578451	0,951971672472591	2,50976543810857	0,00432720490135807
1	0,00455441368047694	1,00197100970493	2,64158189052865	0,00455447466578107
1,05	0,00478168339556916	1,05197034702522	2,77339834318061	0,00478174443057355
1,1	0,00500895311103283	1,10196968442722	2,90521479604803	0,00500901419576394
1,15	0,0052362228268428	1,15196902190542	3,03703124911632	0,00523628396129538
1,2	0,00546349254297666	1,20196835945486	3,16884770237248	0,00546355372713947
1,25	0,0056907622594143	1,25196769707115	3,30066415580485	0,00569082349329619
1,3	0,00591803197613763	1,30196703475028	3,43248060940292	0,00591809325973713
1,35	0,00614530169313025	1,35196637248866	3,56429706315719	0,00614536302646229
1,4	0,00637257141037731	1,40196571028301	3,69611351705905	0,00637263279341482
1,45	0,00659984112786525	1,45196504813036	3,82792997110063	0,00659990256062315
1,5	0,00682711084558169	1,50196438602797	3,95974642527475	0,00682717232805885
1,55	0,00705438056351527	1,55196372397336	4,09156287957482	0,00705444209572193
1,6	0,00728165028165553	1,60196306196422	4,22337933399477	0,00728171186355553
1,65	0,00750891999999285	1,65196239999843	4,35519578852902	0,00750898163164493
1,7	0,0077361897185183	1,70196173807403	4,4870122431724	0,00773625139987644
1,75	0,00796345943722364	1,7519610761892	4,61882869792012	0,0079635211683069
1,8	0,00819072915610118	1,80196041434226	4,75064515276772	0,00819079093687947
1,85	0,00841799887514379	1,85195975253163	4,88246160771107	0,00841806070562257
1,9	0,00864526859434481	1,90195909075586	5,01427806274631	0,00864533047453619
1,95	0,00887253831369801	1,95195842901356	5,14609451786981	0,00887260024362035
2	0,00909980803319756	2,00195776730346	5,2779109730782	0,00909987001284662
2,05	0,00932707775283801	2,05195710562436	5,40972742836832	0,009327139782215
2,1	0,00955434747261421	2,10195644397513	5,54154388373718	0,00955440955172548
2,15	0,00978161719252134	2,15195578235469	5,67336033918199	0,00978167932132124
2,2	0,0100088869125548	2,20195512076206	5,80517679470009	0,0100089490910875
2,25	0,0102361566327104	2,25195445919629	5,93699325028901	0,0102362188609675
2,3	0,0104634263529841	2,30195379765649	6,06880970594641	0,0104634886309327
2,35	0,0106906960733719	2,35195313614182	6,20062616167003	0,0106907584010401
2,4	0,0109179657938703	2,40195247465146	6,3324426174578	0,0109180281712611
2,45	0,0111452355144758	2,45195181318468	6,46425907330769	0,0111452979415958
2,5	0,0113725052351852	2,50195115174074	6,59607552921784	0,0113725677120442
2,55	0,0115997749559953	2,55195049031897	6,72789198518641	0,0115998374825494
2,6	0,0118270446769032	2,60194982891871	6,85970844121172	0,0118271072531684
2,65	0,0120543143979062	2,65194916753935	6,99152489729213	0,0120543770239294
2,7	0,0122815841190014	2,7019485061803	7,12334135342607	0,0122816467947473
2,75	0,0125088538401863	2,751947844841	7,25515780961208	0,012508916565622
2,8	0,0127361235614586	2,8019471835209	7,38697426584873	0,0127361863366104
2,85	0,0129633932828159	2,8519465222195	7,51879072213467	0,0129634561077125
2,9	0,0131906630042559	2,9019458609363	7,65060717846861	0,0131907258788146
2,95	0,0134179327257766	2,95194519967084	7,78242363484932	0,0134179956500873
3	0,0136452024473758	3,00194453842267	7,91424009127559	0,0136452654213883
3,05	0,0138724721690516	3,05194387719135	8,04605654774631	0,0138725351928031
3,1	0,0140997418908021	3,10194321597647	8,17787300426038	0,0140998049642747
3,15	0,0143270116126256	3,15194255477764	8,30968946081675	0,0143270747358315
3,2	0,0145542813345203	3,20194189359447	8,44150591741442	0,0145543445074452
3,25	0,0147815510564846	3,25194123242661	8,57332237405243	0,0147816142791157
3,3	0,0150088207785167	3,30194057127368	8,70513883072984	0,0150088840508715
3,35	0,0152360905006153	3,35193991013537	8,83695528744577	0,0152361538226558
3,4	0,0154633602227788	3,40193924901133	8,96877174419935	0,0154634235945821
3,45	0,0156906299450057	3,45193858790126	9,10058820098974	0,01569069336648
3,5	0,0159178996672937	3,50193792680462	9,23240465781553	0,01591796313852
3,55	0,0161451693894584	3,55193726568084	9,36422111456979	0,0161452329103895
3,6	0,0163724390811269	3,60193659784791	9,49603755363506	0,0163725026517625
