100	2.25172321299292E-5
299.8	2.25143504232331E-5
499.6	2.25114694540318E-5
699.4	2.25085892220422E-5
899.2	2.25057097269815E-5
1099	2.25028309685667E-5
1298.8	2.24999529465154E-5
1498.6	2.24970756605449E-5
1698.4	2.24941991103727E-5
1898.2	2.2491323295717E-5
2098	2.24884482162956E-5
2297.8	2.24855738718267E-5
2497.6	2.2482700262028E-5
2697.4	2.24798273866185E-5
2897.2	2.24769552453162E-5
3097	2.24740838378398E-5
3296.8	2.24712131639086E-5
3496.6	2.24683432232413E-5
3696.4	2.24654740155568E-5
3896.2	2.24626055405743E-5
4096	2.24597377980135E-5
4295.8	2.24568707875938E-5
4495.6	2.24540045090341E-5
4695.4	2.24511389620561E-5
4895.2	2.2448274146377E-5
5095	2.24454100617199E-5
5294.8	2.24425467078032E-5
5494.6	2.24396840843473E-5
5694.4	2.24368221910727E-5
5894.2	2.24339610277011E-5
6094	2.24311005939527E-5
6293.8	2.24282408895479E-5
6493.6	2.2425381914208E-5
6693.4	2.24225236676547E-5
6893.2	2.24196661496094E-5
7093.00000000001	2.24168093597938E-5
7292.80000000001	2.24139532979284E-5
7492.60000000001	2.24110979637359E-5
7692.40000000001	2.24082433569379E-5
7892.20000000001	2.24053894772569E-5
8092.00000000001	2.2402536324415E-5
8291.80000000001	2.23996838981344E-5
8491.6	2.23968321981382E-5
8691.4	2.23939812241469E-5
8891.2	2.23911309758848E-5
9091	2.23882814530763E-5
9290.8	2.23854326554419E-5
9490.6	2.23825845827069E-5
9690.4	2.23797372345935E-5
9890.2	2.23768906108242E-5
10090	2.23740447111266E-5
10289.8	2.23711995352188E-5
10489.6	2.23683550828289E-5
10689.4	2.23655113536797E-5
10889.2	2.23626683474968E-5
11089	2.23598260639999E-5
11288.8	2.2356984502919E-5
11488.6	2.23541436639754E-5
11688.4	2.23513035468955E-5
11888.2	2.23484641514027E-5
12088	2.23456254772239E-5
12287.8	2.23427875240827E-5
12487.6	2.2339950291706E-5
12687.4	2.23371137798167E-5
12887.2	2.23342779881414E-5
13087	2.23314429164091E-5
13286.8	2.23286085643407E-5
13486.6	2.23257749316639E-5
13686.4	2.23229420181068E-5
13886.2	2.23201098233941E-5
14086	2.23172783472512E-5
14285.8	2.23144475894091E-5
14485.6	2.23116175495894E-5
14685.4	2.23087882275198E-5
14885.2	2.23059596229286E-5
15085	2.2303131735543E-5
15284.8	2.23003045650903E-5
15484.6	2.22974781112977E-5
15684.4	2.22946523738899E-5
15884.2	2.22918273525996E-5
16084	2.2289003047151E-5
16283.8	2.22861794572759E-5
16483.6	2.22833565826979E-5
16683.4	2.22805344231449E-5
16883.2	2.22777129783506E-5
17083	2.22748922480385E-5
17282.8	2.22720722319404E-5
17482.6	2.22692529297818E-5
17682.4	2.2266434341295E-5
17882.2	2.22636164662077E-5
18082	2.22607993042475E-5
18281.8	2.22579828551467E-5
18481.6	2.22551671186325E-5
18681.4	2.22523520944364E-5
18881.2	2.22495377822865E-5
19081	2.22467241819126E-5
19280.8	2.22439112930453E-5
19480.6	2.22410991154143E-5
19680.4	2.22382876487513E-5
19880.2	2.2235476892786E-5
20080	2.2232666847248E-5
20279.8	2.22298575118705E-5
20479.6	2.22270488863768E-5
20679.4	2.22242409705102E-5
20879.2	2.22214337639905E-5
21079	2.22186272665566E-5
21278.8	2.22158214779346E-5
21478.6	2.22130163978577E-5
21678.4	2.22102120260602E-5
21878.2	2.22074083622721E-5
22078	2.22046054062256E-5
22277.8	2.22018031576504E-5
22477.6	2.21990016162788E-5
22677.4	2.21962007818473E-5
22877.2	2.21934006540863E-5
23077	2.21906012327234E-5
23276.8	2.21878025175008E-5
23476.6	2.21850045081439E-5
23676.4	2.21822072043882E-5
23876.1999999999	2.21794106059683E-5
24075.9999999999	2.21766147126153E-5
24275.7999999999	2.21738195240626E-5
24475.5999999999	2.21710250400458E-5
24675.3999999999	2.21682312602942E-5
24875.1999999999	2.21654381845442E-5
25074.9999999999	2.21626458125342E-5
25274.7999999999	2.21598541439911E-5
25474.5999999999	2.21570631786515E-5
25674.3999999999	2.21542729162521E-5
25874.1999999999	2.21514833565254E-5
26073.9999999999	2.21486944992047E-5
26273.7999999999	2.21459063440287E-5
26473.5999999999	2.21431188907287E-5
26673.3999999999	2.21403321390407E-5
26873.1999999999	2.21375460886977E-5
27072.9999999999	2.21347607394405E-5
27272.7999999999	2.21319760909997E-5
27472.5999999999	2.21291921431134E-5
27672.3999999999	2.21264088955173E-5
27872.1999999999	2.21236263479466E-5
28071.9999999999	2.21208445001306E-5
28271.7999999999	2.21180633518147E-5
28471.5999999999	2.21152829027361E-5
28671.3999999999	2.21125031526226E-5
28871.1999999999	2.21097241012132E-5
29070.9999999999	2.21069457482514E-5
29270.7999999999	2.21041680934658E-5
29470.5999999999	2.21013911365988E-5
29670.3999999999	2.20986148773851E-5
29870.1999999999	2.20958393155578E-5
30069.9999999999	2.20930644508594E-5
30269.7999999999	2.20902902830238E-5
30469.5999999999	2.20875168117953E-5
30669.3999999999	2.20847440369048E-5
30869.1999999999	2.20819719580915E-5
31068.9999999999	2.2079200575097E-5
31268.7999999999	2.20764298876527E-5
31468.5999999999	2.20736598954998E-5
31668.3999999999	2.20708905983777E-5
31868.1999999999	2.20681219960288E-5
32067.9999999999	2.20653540881845E-5
32267.7999999999	2.20625868745888E-5
32467.5999999999	2.20598203549698E-5
32667.3999999999	2.2057054529081E-5
32867.1999999999	2.20542893966528E-5
33066.9999999999	2.20515249574317E-5
33266.7999999999	2.20487612111466E-5
