*Frequency 	VF1-abs	VF1-phase
1	100.949057149848	-0.000101074536704888
1.12201845430196	100.949057018975	-0.000113407495345878
1.25892541179417	100.949056854216	-0.000127245302497185
1.41253754462275	100.949056646795	-0.000142771577431482
1.58489319246111	100.949056385669	-0.000160192344354465
1.77827941003892	100.94905605693	-0.000179738766217333
1.99526231496888	100.949055643073	-0.00020167021210369
2.23872113856834	100.949055122057	-0.000226277698892617
2.51188643150958	100.949054466137	-0.000253887752865837
2.81838293126445	100.949053640383	-0.000284866742498949
3.16227766016838	100.94905260082	-0.000319625739928539
3.54813389233575	100.949051292088	-0.000358625975601473
3.98107170553497	100.949049644493	-0.000402384958482856
4.46683592150963	100.949047570292	-0.000451483343029295
5.01187233627272	100.949044959029	-0.000506572634041262
5.62341325190349	100.949041671644	-0.00056838383162366
6.30957344480193	100.949037533071	-0.000637737130954475
7.07945784384138	100.949032322917	-0.000715552805552404
7.94328234724281	100.949025763724	-0.000802863418430832
8.91250938133746	100.949017506191	-0.000900827523134626
10	100.949007110575	-0.00101074503641029
11.2201845430196	100.948994023274	-0.00113407448641944
12.5892541179417	100.948977547346	-0.00127245236526137
14.1253754462275	100.948956805394	-0.00142771484244924
15.8489319246111	100.94893069284	-0.00160192212724994
17.7827941003892	100.948897819112	-0.00179738580285836
19.9526231496888	100.948856433586	-0.002016699494686
22.3872113856834	100.948804332368	-0.00226277327910925
25.1188643150958	100.948738740936	-0.0025388722884068
28.1838293126446	100.948656166396	-0.00284866002294474
31.6227766016838	100.948552211498	-0.00319624694363233
35.4813389233575	100.948421340492	-0.00358624498703543
39.8107170553497	100.94825658438	-0.00402382872313206
44.6683592150963	100.948049169871	-0.00451480396243678
50.1187233627272	100.947788052293	-0.00506568471608989
56.2341325190349	100.947459327618	-0.00568377952055001
63.0957344480193	100.947045492338	-0.00637728825884259
70.7945784384138	100.946524511823	-0.00715541074402285
79.4328234724282	100.945868647681	-0.00802846847871324
89.1250938133746	100.945042981822	-0.00900804116829198
100	100.944003558892	-0.0101071197453767
112.201845430196	100.942695048601	-0.0113402778601672
125.892541179417	100.941047804087	-0.0127238640049376
141.253754462275	100.938974160754	-0.0142762166705816
158.489319246111	100.93636378015	-0.0160179051763677
177.827941003892	100.933077793582	-0.0179719990667325
199.526231496888	100.928941437819	-0.0201643692238697
223.872113856834	100.923734797361	-0.0226240240906762
251.188643150958	100.917181170836	-0.025383484617784
281.838293126446	100.908932458694	-0.0284792017146755
316.227766016838	100.898550820476	-0.0319520200596095
354.813389233576	100.885485666671	-0.0358476920500702
398.107170553497	100.869044825962	-0.040217445374008
446.683592150963	100.848358456835	-0.0451186070373682
501.187233627273	100.822333946465	-0.0506152855332612
562.341325190349	100.789599654852	-0.0567791109560447
630.957344480194	100.748434917282	-0.063690029935789
707.945784384138	100.696683220173	-0.071437147865243
794.328234724282	100.631644934338	-0.0801196044314744
891.250938133746	100.549945469187	-0.0898474591753366
1000	100.447374282153	-0.100742550679517
1122.01845430196	100.318689979332	-0.112939274763869
1258.92541179417	100.157387004337	-0.126585202219199
1412.53754462276	99.9554204899368	-0.141841423427033
1584.89319246111	99.7028882764069	-0.158882464014315
1778.27941003892	99.3876736452306	-0.177895561300887
1995.26231496888	98.9950600011868	-0.199079025921817
2238.72113856834	98.5073408163113	-0.222639339750752
2511.88643150958	97.9034659450847	-0.248786568465291
2818.38293126445	97.1587898775309	-0.277727611646572
3162.27766016838	96.2450183151765	-0.309656804404678
3548.13389233575	95.1304836256113	-0.344743466804755
3981.07170553497	93.7809095242875	-0.383116230229051
4466.83592150963	92.160836282611	-0.424844417821003
5011.87233627272	90.2358481808739	-0.469917464003471
5623.41325190349	87.9756496405007	-0.518224305812991
6309.57344480194	85.3578578624887	-0.569535724159557
7079.45784384139	82.3721266774249	-0.623493448972539
7943.28234724282	79.023943917507	-0.679610021836404
8912.50938133746	75.3372590360184	-0.737282493080977
10000	71.3551248225389	-0.795820846101447
11220.1845430196	67.1378533639931	-0.854488944027267
12589.2541179417	62.7587458351379	-0.912552699055434
14125.3754462276	58.2980741766462	-0.969328222282234
15848.9319246112	53.8364266421872	-1.02422272388729
17782.7941003892	49.4486093635994	-1.07676289501929
19952.6231496888	45.1990211308159	-1.12660860445763
22387.2113856834	41.138939951405	-1.17355283517758
25118.8643150958	37.3056800612988	-1.21751095716178
28183.8293126445	33.723244357949	-1.25850333576194
31622.7766016838	30.4039567399537	-1.29663508547491
35481.3389233575	27.3505771527774	-1.33207593854339
39810.7170553498	24.5585104675069	-1.36504215192574
44668.3592150963	22.017854954549	-1.39578143002802
50118.7233627273	19.7151564026524	-1.42456113460215
56234.1325190349	17.634822663112	-1.45165960605024
63095.7344480195	15.7602092391622	-1.47736018659899
70794.5784384138	14.0744158335287	-1.50194745035846
79432.8234724283	12.5608448077324	-1.52570514830499
89125.0938133745	11.2035726098437	-1.54891542248247
100000	9.98757974797005	-1.57185890312259
 
