#t(s)	intens
233.0	0.00601501001328
234.0	0.00603595559368
235.0	0.00605717137049
236.0	0.00607861086181
237.0	0.00610022627755
238.0	0.00612197193688
239.0	0.00614380782449
240.0	0.00616569280036
241.0	0.006187588052
242.0	0.00620946057164
243.0	0.0062312751098
244.0	0.00625300333261
245.0	0.00627461576166
246.0	0.00629608518719
247.0	0.00631738996123
248.0	0.00633850716192
249.0	0.00635941594079
250.0	0.00638010068749
251.0	0.00640054328625
252.0	0.00642073170732
253.0	0.00644065236894
254.0	0.00646029332545
255.0	0.00647964720287
256.0	0.00649870392468
257.0	0.00651745874593
258.0	0.00653590512095
259.0	0.00655403769018
260.0	0.00657185497875
261.0	0.00658935360305
262.0	0.00660653112418
263.0	0.00662346887582
264.0	0.00664064639695
265.0	0.00665814502125
266.0	0.00667596230982
267.0	0.00669409487905
268.0	0.00671254125407
269.0	0.00673129607532
270.0	0.00675035279713
271.0	0.00676970667455
272.0	0.00678934763106
273.0	0.00680926829268
274.0	0.00682945671375
275.0	0.00684989931251
276.0	0.00687058405921
277.0	0.00689149283808
278.0	0.00691261003877
279.0	0.00693391481281
280.0	0.00695538423834
281.0	0.00697699666739
282.0	0.0069987248902
283.0	0.00702053942836
284.0	0.007042411948
285.0	0.00706430719964
286.0	0.00708619217551
287.0	0.00710802806312
288.0	0.00712977372245
289.0	0.00715138913819
290.0	0.00717282862951
291.0	0.00719404440632
292.0	0.00721498998672
293.0	0.00723561258392
294.0	0.00725586206897
295.0	0.00727568356009
296.0	0.00729502101423
297.0	0.00731382044562
298.0	0.00733202319622
299.0	0.0073495741525
300.0	0.00736641534135
301.0	0.00738248935228
302.0	0.00739774211038
303.0	0.00741211823406
304.0	0.0074255642113
305.0	0.00743803075417
306.0	0.00744946843021
307.0	0.00745983332357
308.0	0.00746908312132
309.0	0.00747717958116
310.0	0.00748408991917
311.0	0.00748978459805
312.0	0.00749423919017
313.0	0.00749743504696
314.0	0.00749935803037
