#B	deltaB	I_s	deltais	R_s	deltaR	G	deltaG	#Temp(errore 0.5°C)
21.336816374	0.0385188958387	1.49260440482	0.0298369698679	1.89318115188	0.0635887590024	0.0385188958387	-1.1216572664e-05	15.86
21.3125300817	0.0290370857615	1.69748584204	0.0258336194978	1.93795435829	0.0460333470548	0.0290370857615	-7.70199838982e-05	18.63
20.9991913224	0.0275179501836	2.74966920904	0.0377362696718	2.23313100966	0.0467205392017	0.0275179501836	1.61810105443e-05	25.75
20.7555251444	0.0223954291769	3.84505524978	0.0420668753994	2.37293100931	0.038897552128	0.0223954291769	0.000308938182725	30.94
20.6814665911	0.0157327111252	4.88821944382	0.0368102370194	2.56769743315	0.0275116157642	0.0157327111252	1.680643827e-05	35.43
20.4461222778	0.0141660255982	6.26270095044	0.0418828096568	2.57756154895	0.0253464207498	0.0141660255982	9.47047865942e-05	38.78
20.2731908343	0.011327189983	8.55906409621	0.0457048383458	2.74396383048	0.0197846886904	0.011327189983	2.15680194402e-05	43.84
20.2829049485	0.0085223960564	8.76539351236	0.0343101777085	2.76332859747	0.0154945629327	0.0085223960564	2.09504854629e-05	44.64
19.9932212364	0.00799763666589	12.7081237091	0.0466149978618	2.85715459046	0.0143255281604	0.00799763666589	2.02606628936e-05	48.5
19.8129939839	0.0084051079926	15.6224766402	0.0579779013394	2.84417332577	0.0159720469383	0.0084051079926	7.5048522421e-05	53.38
19.6299444271	0.0104009925204	19.6655014598	0.0888010858998	2.86916607425	0.020107748598	0.0104009925204	2.95191052437e-05	56.99
19.5835223201	0.0126045485115	21.7244409414	0.117822093382	2.92070616122	0.0244639394781	0.0126045485115	4.50268606804e-05	58.92
19.5719915638	0.0153934555636	23.4694323645	0.153548967116	2.905919737	0.0300202194035	0.0153934555636	-0.000128093247177	60.53
19.5407253705	0.0179730730198	25.0535311358	0.190318617591	2.92597522817	0.0350937289913	0.0179730730198	7.90675917295e-05	62.06
19.1828603162	0.0102624702515	33.6068397658	0.136210029089	2.85989455703	0.024317286587	0.0102624702515	0.00013112037352	65.18
