t0	21/04/2016  17:04:53.439688
delta t	1.000000E-5

time	Y
21/04/2016  17:04:53.440938	-3.852539
21/04/2016  17:04:53.440948	-3.852539
21/04/2016  17:04:53.440958	-3.852539
21/04/2016  17:04:53.440968	-3.854980
21/04/2016  17:04:53.440978	-3.854980
21/04/2016  17:04:53.440988	-3.854980
21/04/2016  17:04:53.440998	-3.854980
21/04/2016  17:04:53.441008	-3.854980
21/04/2016  17:04:53.441018	-3.854980
21/04/2016  17:04:53.441028	-3.857422
21/04/2016  17:04:53.441038	-3.857422
21/04/2016  17:04:53.441048	-3.857422
21/04/2016  17:04:53.441058	-3.857422
21/04/2016  17:04:53.441068	-3.857422
21/04/2016  17:04:53.441078	-3.857422
21/04/2016  17:04:53.441088	-3.857422
21/04/2016  17:04:53.441098	-3.857422
21/04/2016  17:04:53.441108	-3.859863
21/04/2016  17:04:53.441118	-3.859863
21/04/2016  17:04:53.441128	-3.859863
21/04/2016  17:04:53.441138	-3.859863
21/04/2016  17:04:53.441148	-3.859863
21/04/2016  17:04:53.441158	-3.859863
21/04/2016  17:04:53.441168	-3.859863
21/04/2016  17:04:53.441178	-3.859863
21/04/2016  17:04:53.441188	-3.859863
21/04/2016  17:04:53.441198	-3.859863
21/04/2016  17:04:53.441208	-3.859863
21/04/2016  17:04:53.441218	-3.859863
21/04/2016  17:04:53.441228	-3.859863
21/04/2016  17:04:53.441238	-3.859863
21/04/2016  17:04:53.441248	-3.862305
21/04/2016  17:04:53.441258	-3.862305
21/04/2016  17:04:53.441268	-3.862305
21/04/2016  17:04:53.441278	-3.862305
21/04/2016  17:04:53.441288	-3.862305
21/04/2016  17:04:53.441298	-3.862305
21/04/2016  17:04:53.441308	-3.862305
21/04/2016  17:04:53.441318	-3.862305
21/04/2016  17:04:53.441328	-3.862305
21/04/2016  17:04:53.441338	-3.862305
21/04/2016  17:04:53.441348	-3.862305
21/04/2016  17:04:53.441358	-3.862305
21/04/2016  17:04:53.441368	-3.862305
21/04/2016  17:04:53.441378	-3.862305
21/04/2016  17:04:53.441388	-3.862305
21/04/2016  17:04:53.441398	-3.862305
21/04/2016  17:04:53.441408	-3.862305
21/04/2016  17:04:53.441418	-3.862305
21/04/2016  17:04:53.441428	-3.862305
21/04/2016  17:04:53.441438	-3.862305
21/04/2016  17:04:53.441448	-3.862305
21/04/2016  17:04:53.441458	-3.862305
21/04/2016  17:04:53.441468	-3.862305
21/04/2016  17:04:53.441478	-3.859863
21/04/2016  17:04:53.441488	-3.862305
21/04/2016  17:04:53.441498	-3.859863
21/04/2016  17:04:53.441508	-3.859863
21/04/2016  17:04:53.441518	-3.859863
21/04/2016  17:04:53.441528	-3.859863
21/04/2016  17:04:53.441538	-3.859863
21/04/2016  17:04:53.441548	-3.859863
21/04/2016  17:04:53.441558	-3.859863
21/04/2016  17:04:53.441568	-3.859863
21/04/2016  17:04:53.441578	-3.859863
21/04/2016  17:04:53.441588	-3.859863
21/04/2016  17:04:53.441598	-3.859863
21/04/2016  17:04:53.441608	-3.859863
21/04/2016  17:04:53.441618	-3.859863
21/04/2016  17:04:53.441628	-3.859863
21/04/2016  17:04:53.441638	-3.857422
21/04/2016  17:04:53.441648	-3.857422
21/04/2016  17:04:53.441658	-3.857422
21/04/2016  17:04:53.441668	-3.857422
21/04/2016  17:04:53.441678	-3.854980
21/04/2016  17:04:53.441688	-3.857422
21/04/2016  17:04:53.441698	-3.857422
21/04/2016  17:04:53.441708	-3.854980
21/04/2016  17:04:53.441718	-3.854980
21/04/2016  17:04:53.441728	-3.854980
21/04/2016  17:04:53.441738	-3.854980
21/04/2016  17:04:53.441748	-3.854980
21/04/2016  17:04:53.441758	-3.852539
21/04/2016  17:04:53.441768	-3.852539
21/04/2016  17:04:53.441778	-3.852539
21/04/2016  17:04:53.441788	-3.852539
21/04/2016  17:04:53.441798	-3.852539
21/04/2016  17:04:53.441808	-3.852539
21/04/2016  17:04:53.441818	-3.850098
21/04/2016  17:04:53.441828	-3.850098
21/04/2016  17:04:53.441838	-3.850098
21/04/2016  17:04:53.441848	-3.847656
21/04/2016  17:04:53.441858	-3.850098
21/04/2016  17:04:53.441868	-3.847656
21/04/2016  17:04:53.441878	-3.847656
21/04/2016  17:04:53.441888	-3.847656
21/04/2016  17:04:53.441898	-3.847656
21/04/2016  17:04:53.441908	-3.847656
21/04/2016  17:04:53.441918	-3.845215
21/04/2016  17:04:53.441928	-3.845215
21/04/2016  17:04:53.441938	-3.842773
21/04/2016  17:04:53.441948	-3.845215
21/04/2016  17:04:53.441958	-3.842773
21/04/2016  17:04:53.441968	-3.842773
21/04/2016  17:04:53.441978	-3.842773
21/04/2016  17:04:53.441988	-3.840332
21/04/2016  17:04:53.441998	-3.840332
21/04/2016  17:04:53.442008	-3.840332
21/04/2016  17:04:53.442018	-3.840332
21/04/2016  17:04:53.442028	-3.837891
21/04/2016  17:04:53.442038	-3.837891
21/04/2016  17:04:53.442048	-3.837891
21/04/2016  17:04:53.442058	-3.835449
21/04/2016  17:04:53.442068	-3.835449
21/04/2016  17:04:53.442078	-3.835449
21/04/2016  17:04:53.442088	-3.835449
21/04/2016  17:04:53.442098	-3.835449
21/04/2016  17:04:53.442108	-3.833008
21/04/2016  17:04:53.442118	-3.833008
21/04/2016  17:04:53.442128	-3.833008
21/04/2016  17:04:53.442138	-3.830566
21/04/2016  17:04:53.442148	-3.830566
21/04/2016  17:04:53.442158	-3.830566
21/04/2016  17:04:53.442168	-3.830566
21/04/2016  17:04:53.442178	-3.830566
21/04/2016  17:04:53.442188	-3.828125
21/04/2016  17:04:53.442198	-3.828125
21/04/2016  17:04:53.442208	-3.825684
21/04/2016  17:04:53.442218	-3.825684
21/04/2016  17:04:53.442228	-3.825684
21/04/2016  17:04:53.442238	-3.823242
21/04/2016  17:04:53.442248	-3.823242
21/04/2016  17:04:53.442258	-3.823242
21/04/2016  17:04:53.442268	-3.823242
21/04/2016  17:04:53.442278	-3.820801
21/04/2016  17:04:53.442288	-3.820801
21/04/2016  17:04:53.442298	-3.820801
21/04/2016  17:04:53.442308	-3.820801
21/04/2016  17:04:53.442318	-3.820801
21/04/2016  17:04:53.442328	-3.818359
21/04/2016  17:04:53.442338	-3.818359
21/04/2016  17:04:53.442348	-3.818359
21/04/2016  17:04:53.442358	-3.815918
21/04/2016  17:04:53.442368	-3.815918
21/04/2016  17:04:53.442378	-3.815918
21/04/2016  17:04:53.442388	-3.813477
21/04/2016  17:04:53.442398	-3.813477
21/04/2016  17:04:53.442408	-3.813477
21/04/2016  17:04:53.442418	-3.813477
21/04/2016  17:04:53.442428	-3.811035
21/04/2016  17:04:53.442438	-3.811035
21/04/2016  17:04:53.442448	-3.811035
21/04/2016  17:04:53.442458	-3.811035
21/04/2016  17:04:53.442468	-3.808594
21/04/2016  17:04:53.442478	-3.808594
21/04/2016  17:04:53.442488	-3.808594
21/04/2016  17:04:53.442498	-3.808594
21/04/2016  17:04:53.442508	-3.806152
21/04/2016  17:04:53.442518	-3.806152
21/04/2016  17:04:53.442528	-3.806152
21/04/2016  17:04:53.442538	-3.803711
21/04/2016  17:04:53.442548	-3.803711
21/04/2016  17:04:53.442558	-3.803711
21/04/2016  17:04:53.442568	-3.803711
21/04/2016  17:04:53.442578	-3.803711
21/04/2016  17:04:53.442588	-3.803711
21/04/2016  17:04:53.442598	-3.803711
21/04/2016  17:04:53.442608	-3.801270
21/04/2016  17:04:53.442618	-3.801270
21/04/2016  17:04:53.442628	-3.801270
21/04/2016  17:04:53.442638	-3.801270
21/04/2016  17:04:53.442648	-3.798828
21/04/2016  17:04:53.442658	-3.798828
21/04/2016  17:04:53.442668	-3.798828
21/04/2016  17:04:53.442678	-3.798828
21/04/2016  17:04:53.442688	-3.796387
21/04/2016  17:04:53.442698	-3.796387
21/04/2016  17:04:53.442708	-3.796387
21/04/2016  17:04:53.442718	-3.796387
21/04/2016  17:04:53.442728	-3.796387
21/04/2016  17:04:53.442738	-3.796387
21/04/2016  17:04:53.442748	-3.796387
21/04/2016  17:04:53.442758	-3.796387
21/04/2016  17:04:53.442768	-3.793945
21/04/2016  17:04:53.442778	-3.793945
21/04/2016  17:04:53.442788	-3.793945
21/04/2016  17:04:53.442798	-3.793945
21/04/2016  17:04:53.442808	-3.793945
21/04/2016  17:04:53.442818	-3.793945
21/04/2016  17:04:53.442828	-3.791504
21/04/2016  17:04:53.442838	-3.791504
21/04/2016  17:04:53.442848	-3.791504
21/04/2016  17:04:53.442858	-3.791504
21/04/2016  17:04:53.442868	-3.791504
21/04/2016  17:04:53.442878	-3.791504
21/04/2016  17:04:53.442888	-3.791504
21/04/2016  17:04:53.442898	-3.791504
21/04/2016  17:04:53.442908	-3.791504
21/04/2016  17:04:53.442918	-3.791504
21/04/2016  17:04:53.442928	-3.791504
21/04/2016  17:04:53.442938	-3.791504
21/04/2016  17:04:53.442948	-3.791504
21/04/2016  17:04:53.442958	-3.791504
21/04/2016  17:04:53.442968	-3.791504
21/04/2016  17:04:53.442978	-3.791504
21/04/2016  17:04:53.442988	-3.789062
21/04/2016  17:04:53.442998	-3.791504
21/04/2016  17:04:53.443008	-3.789062
21/04/2016  17:04:53.443018	-3.789062
21/04/2016  17:04:53.443028	-3.789062
21/04/2016  17:04:53.443038	-3.789062
21/04/2016  17:04:53.443048	-3.791504
21/04/2016  17:04:53.443058	-3.791504
21/04/2016  17:04:53.443068	-3.789062
21/04/2016  17:04:53.443078	-3.791504
21/04/2016  17:04:53.443088	-3.789062
21/04/2016  17:04:53.443098	-3.791504
21/04/2016  17:04:53.443108	-3.791504
21/04/2016  17:04:53.443118	-3.791504
21/04/2016  17:04:53.443128	-3.791504
21/04/2016  17:04:53.443138	-3.791504
21/04/2016  17:04:53.443148	-3.791504
21/04/2016  17:04:53.443158	-3.791504
21/04/2016  17:04:53.443168	-3.791504
21/04/2016  17:04:53.443178	-3.791504
21/04/2016  17:04:53.443188	-3.791504
21/04/2016  17:04:53.443198	-3.791504
21/04/2016  17:04:53.443208	-3.791504
21/04/2016  17:04:53.443218	-3.791504
21/04/2016  17:04:53.443228	-3.793945
21/04/2016  17:04:53.443238	-3.793945
21/04/2016  17:04:53.443248	-3.793945
21/04/2016  17:04:53.443258	-3.793945
21/04/2016  17:04:53.443268	-3.793945
21/04/2016  17:04:53.443278	-3.793945
21/04/2016  17:04:53.443288	-3.793945
21/04/2016  17:04:53.443298	-3.793945
21/04/2016  17:04:53.443308	-3.793945
21/04/2016  17:04:53.443318	-3.796387
21/04/2016  17:04:53.443328	-3.796387
21/04/2016  17:04:53.443338	-3.796387
21/04/2016  17:04:53.443348	-3.796387
21/04/2016  17:04:53.443358	-3.796387
21/04/2016  17:04:53.443368	-3.796387
21/04/2016  17:04:53.443378	-3.798828
21/04/2016  17:04:53.443388	-3.798828
21/04/2016  17:04:53.443398	-3.798828
21/04/2016  17:04:53.443408	-3.798828
21/04/2016  17:04:53.443418	-3.798828
21/04/2016  17:04:53.443428	-3.798828
21/04/2016  17:04:53.443438	-3.801270
21/04/2016  17:04:53.443448	-3.801270
21/04/2016  17:04:53.443458	-3.801270
21/04/2016  17:04:53.443468	-3.801270
21/04/2016  17:04:53.443478	-3.801270
21/04/2016  17:04:53.443488	-3.803711
21/04/2016  17:04:53.443498	-3.803711
21/04/2016  17:04:53.443508	-3.803711
21/04/2016  17:04:53.443518	-3.803711
21/04/2016  17:04:53.443528	-3.803711
21/04/2016  17:04:53.443538	-3.806152
21/04/2016  17:04:53.443548	-3.806152
21/04/2016  17:04:53.443558	-3.806152
21/04/2016  17:04:53.443568	-3.808594
21/04/2016  17:04:53.443578	-3.808594
21/04/2016  17:04:53.443588	-3.808594
21/04/2016  17:04:53.443598	-3.808594
21/04/2016  17:04:53.443608	-3.808594
21/04/2016  17:04:53.443618	-3.811035
21/04/2016  17:04:53.443628	-3.811035
21/04/2016  17:04:53.443638	-3.811035
21/04/2016  17:04:53.443648	-3.813477
21/04/2016  17:04:53.443658	-3.813477
21/04/2016  17:04:53.443668	-3.813477
21/04/2016  17:04:53.443678	-3.813477
21/04/2016  17:04:53.443688	-3.813477
21/04/2016  17:04:53.443698	-3.813477
21/04/2016  17:04:53.443708	-3.815918
21/04/2016  17:04:53.443718	-3.815918
21/04/2016  17:04:53.443728	-3.818359
21/04/2016  17:04:53.443738	-3.818359
21/04/2016  17:04:53.443748	-3.818359
21/04/2016  17:04:53.443758	-3.818359
21/04/2016  17:04:53.443768	-3.820801
21/04/2016  17:04:53.443778	-3.820801
21/04/2016  17:04:53.443788	-3.820801
21/04/2016  17:04:53.443798	-3.820801
21/04/2016  17:04:53.443808	-3.823242
21/04/2016  17:04:53.443818	-3.823242
21/04/2016  17:04:53.443828	-3.823242
21/04/2016  17:04:53.443838	-3.823242
21/04/2016  17:04:53.443848	-3.825684
21/04/2016  17:04:53.443858	-3.825684
21/04/2016  17:04:53.443868	-3.825684
21/04/2016  17:04:53.443878	-3.825684
21/04/2016  17:04:53.443888	-3.828125
21/04/2016  17:04:53.443898	-3.828125
21/04/2016  17:04:53.443908	-3.828125
21/04/2016  17:04:53.443918	-3.830566
21/04/2016  17:04:53.443928	-3.830566
21/04/2016  17:04:53.443938	-3.833008
21/04/2016  17:04:53.443948	-3.833008
21/04/2016  17:04:53.443958	-3.833008
21/04/2016  17:04:53.443968	-3.833008
21/04/2016  17:04:53.443978	-3.833008
21/04/2016  17:04:53.443988	-3.835449
21/04/2016  17:04:53.443998	-3.835449
21/04/2016  17:04:53.444008	-3.835449
21/04/2016  17:04:53.444018	-3.837891
21/04/2016  17:04:53.444028	-3.837891
21/04/2016  17:04:53.444038	-3.837891
21/04/2016  17:04:53.444048	-3.837891
21/04/2016  17:04:53.444058	-3.837891
21/04/2016  17:04:53.444068	-3.840332
21/04/2016  17:04:53.444078	-3.840332
21/04/2016  17:04:53.444088	-3.840332
21/04/2016  17:04:53.444098	-3.840332
21/04/2016  17:04:53.444108	-3.842773
21/04/2016  17:04:53.444118	-3.842773
21/04/2016  17:04:53.444128	-3.842773
21/04/2016  17:04:53.444138	-3.842773
21/04/2016  17:04:53.444148	-3.845215
21/04/2016  17:04:53.444158	-3.845215
21/04/2016  17:04:53.444168	-3.845215
21/04/2016  17:04:53.444178	-3.845215
21/04/2016  17:04:53.444188	-3.847656
21/04/2016  17:04:53.444198	-3.847656
21/04/2016  17:04:53.444208	-3.847656
21/04/2016  17:04:53.444218	-3.847656
21/04/2016  17:04:53.444228	-3.847656
21/04/2016  17:04:53.444238	-3.850098
21/04/2016  17:04:53.444248	-3.850098
21/04/2016  17:04:53.444258	-3.850098
21/04/2016  17:04:53.444268	-3.850098
21/04/2016  17:04:53.444278	-3.850098
21/04/2016  17:04:53.444288	-3.850098
21/04/2016  17:04:53.444298	-3.852539
21/04/2016  17:04:53.444308	-3.852539
21/04/2016  17:04:53.444318	-3.852539
21/04/2016  17:04:53.444328	-3.852539
21/04/2016  17:04:53.444338	-3.852539
21/04/2016  17:04:53.444348	-3.854980
21/04/2016  17:04:53.444358	-3.854980
21/04/2016  17:04:53.444368	-3.854980
21/04/2016  17:04:53.444378	-3.854980
21/04/2016  17:04:53.444388	-3.854980
21/04/2016  17:04:53.444398	-3.854980
21/04/2016  17:04:53.444408	-3.854980
21/04/2016  17:04:53.444418	-3.854980
21/04/2016  17:04:53.444428	-3.854980
21/04/2016  17:04:53.444438	-3.857422
21/04/2016  17:04:53.444448	-3.857422
21/04/2016  17:04:53.444458	-3.857422
21/04/2016  17:04:53.444468	-3.857422
21/04/2016  17:04:53.444478	-3.857422
21/04/2016  17:04:53.444488	-3.857422
21/04/2016  17:04:53.444498	-3.857422
21/04/2016  17:04:53.444508	-3.857422
21/04/2016  17:04:53.444518	-3.857422
21/04/2016  17:04:53.444528	-3.857422
21/04/2016  17:04:53.444538	-3.857422
21/04/2016  17:04:53.444548	-3.857422
21/04/2016  17:04:53.444558	-3.857422
21/04/2016  17:04:53.444568	-3.859863
21/04/2016  17:04:53.444578	-3.859863
21/04/2016  17:04:53.444588	-3.859863
21/04/2016  17:04:53.444598	-3.859863
21/04/2016  17:04:53.444608	-3.859863
21/04/2016  17:04:53.444618	-3.859863
21/04/2016  17:04:53.444628	-3.859863
21/04/2016  17:04:53.444638	-3.859863
21/04/2016  17:04:53.444648	-3.859863
21/04/2016  17:04:53.444658	-3.859863
21/04/2016  17:04:53.444668	-3.859863
21/04/2016  17:04:53.444678	-3.859863
21/04/2016  17:04:53.444688	-3.859863
21/04/2016  17:04:53.444698	-3.859863
21/04/2016  17:04:53.444708	-3.859863
