Time - Plot 0	Amplitude - Plot 0	
442	-0.317383	
443	-0.302734	
444	-0.292969	
445	-0.280762	
446	-0.268555	
447	-0.256348	
448	-0.244141	
449	-0.231934	
450	-0.219727	
451	-0.205078	
452	-0.219727	
453	-0.231934	
454	-0.244141	
455	-0.256348	
456	-0.268555	
457	-0.280762	
458	-0.292969	
459	-0.305176	
460	-0.317383	
461	-0.32959	
462	-0.341797	
463	-0.354004	
464	-0.366211	
465	-0.380859	
466	-0.393066	
467	-0.405273	
468	-0.41748	
469	-0.429687	
470	-0.441895	
471	-0.454102	
472	-0.466309	
473	-0.478516	
474	-0.490723	
475	-0.50293	
476	-0.515137	
477	-0.527344	
478	-0.541992	
479	-0.554199	
480	-0.566406	
481	-0.578613	
482	-0.59082	
483	-0.603027	
484	-0.615234	
485	-0.627441	
486	-0.639648	
487	-0.651855	
488	-0.664062	
489	-0.67627	
490	-0.688477	
491	-0.700684	
492	-0.712891	
493	-0.725098	
494	-0.737305	
495	-0.749512	
496	-0.761719	
497	-0.773926	
498	-0.786133	
499	-0.79834	
