Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2	
0	0.708008	0	-0.0488281	0	-0.0195312	
1	0.776367	1	0.0341797	1	0.0390625	
2	0.834961	2	0.107422	2	0.117187	
3	0.893555	3	0.195312	3	0.200195	
4	0.952148	4	0.273437	4	0.302734	
5	0.996094	5	0.351562	5	0.405273	
6	1.04492	6	0.429687	6	0.512695	
7	1.08398	7	0.507812	7	0.615234	
8	1.11816	8	0.576172	8	0.717773	
9	1.14746	9	0.649414	9	0.830078	
10	1.17676	10	0.712891	10	0.927734	
11	1.19629	11	0.78125	11	1.02051	
12	1.21582	12	0.844727	12	1.11328	
13	1.22559	13	0.908203	13	1.19629	
14	1.23047	14	0.961914	14	1.26465	
15	1.22559	15	1.00586	15	1.32813	
16	1.21582	16	1.05469	16	1.37207	
17	1.20605	17	1.08887	17	1.40625	
18	1.18652	18	1.13281	18	1.43066	
19	1.16699	19	1.16211	19	1.43555	
20	1.1377	20	1.19141	20	1.41602	
21	1.09863	21	1.21094	21	1.38672	
22	1.05957	22	1.22559	22	1.3623	
23	1.02051	23	1.23535	23	1.30371	
24	0.97168	24	1.24023	24	1.24512	
25	0.917969	25	1.23535	25	1.17676	
26	0.864258	26	1.22559	26	1.08887	
27	0.805664	27	1.2207	27	1.00098	
28	0.737305	28	1.20117	28	0.893555	
29	0.668945	29	1.17676	29	0.786133	
30	0.600586	30	1.15234	30	0.683594	
31	0.522461	31	1.11328	31	0.566406	
32	0.444336	32	1.08398	32	0.473633	
33	0.366211	33	1.03516	33	0.356445	
34	0.292969	34	0.991211	34	0.263672	
35	0.205078	35	0.9375	35	0.166016	
36	0.126953	36	0.883789	36	0.0732422	
37	0.0439453	37	0.825195	37	0.00488281	
38	-0.0390625	38	0.761719	38	-0.0634766	
39	-0.126953	39	0.693359	39	-0.117187	
40	-0.205078	40	0.620117	40	-0.151367	
41	-0.288086	41	0.556641	41	-0.19043	
42	-0.366211	42	0.478516	42	-0.205078	
43	-0.449219	43	0.405273	43	-0.195312	
44	-0.522461	44	0.322266	44	-0.180664	
45	-0.595703	45	0.244141	45	-0.15625	
46	-0.673828	46	0.166016	46	-0.107422	
47	-0.74707	47	0.0830078	47	-0.0488281	
48	-0.81543	48	-0.00488281	48	0.0195312	
49	-0.874023	49	-0.078125	49	0.0878906	
50	-0.927734	50	-0.166016	50	0.180664	
51	-0.986328	51	-0.244141	51	0.27832	
52	-1.03516	52	-0.322266	52	0.375977	
53	-1.08398	53	-0.400391	53	0.488281	
54	-1.11816	54	-0.473633	54	0.585937	
55	-1.15723	55	-0.541992	55	0.693359	
56	-1.18652	56	-0.615234	56	0.800781	
57	-1.21582	57	-0.683594	57	0.908203	
58	-1.23535	58	-0.751953	58	1.01074	
59	-1.25488	59	-0.810547	59	1.08887	
60	-1.26465	60	-0.874023	60	1.19141	
61	-1.26465	61	-0.922852	61	1.26465	
62	-1.26465	62	-0.97168	62	1.31348	
63	-1.25488	63	-1.02051	63	1.3623	
64	-1.24512	64	-1.05957	64	1.40137	
65	-1.22559	65	-1.09863	65	1.42578	
66	-1.20605	66	-1.12793	66	1.42578	
67	-1.17676	67	-1.15234	67	1.41602	
68	-1.1377	68	-1.17676	68	1.40137	
69	-1.09863	69	-1.19141	69	1.3623	
70	-1.05957	70	-1.20605	70	1.31836	
71	-1.01074	71	-1.20605	71	1.25488	
72	-0.952148	72	-1.20117	72	1.18164	
73	-0.898437	73	-1.19629	73	1.09375	
74	-0.839844	74	-1.18164	74	1.00586	
75	-0.776367	75	-1.16211	75	0.908203	
76	-0.708008	76	-1.14746	76	0.805664	
77	-0.634766	77	-1.11816	77	0.698242	
78	-0.556641	78	-1.0791	78	0.59082	
79	-0.478516	79	-1.0498	79	0.493164	
80	-0.400391	80	-1.00098	80	0.380859	
81	-0.322266	81	-0.957031	81	0.288086	
82	-0.239258	82	-0.90332	82	0.185547	
83	-0.161133	83	-0.849609	83	0.102539	
84	-0.078125	84	-0.791016	84	0.0244141	
85	0.00488281	85	-0.727539	85	-0.0439453	
86	0.0878906	86	-0.664062	86	-0.0830078	
87	0.170898	87	-0.59082	87	-0.131836	
88	0.253906	88	-0.522461	88	-0.170898	
89	0.332031	89	-0.449219	89	-0.170898	
90	0.410156	90	-0.371094	90	-0.170898	
91	0.488281	91	-0.288086	91	-0.15625	
92	0.566406	92	-0.209961	92	-0.126953	
93	0.639648	93	-0.136719	93	-0.078125	
94	0.708008	94	-0.0488281	94	-0.0292969	
95	0.776367	95	0.0341797	95	0.0390625	
96	0.834961	96	0.112305	96	0.117187	
97	0.893555	97	0.200195	97	0.205078	
98	0.952148	98	0.273437	98	0.307617	
99	1.00098	99	0.351562	99	0.405273	
100	1.0498	100	0.43457	100	0.512695	
101	1.08887	101	0.507812	101	0.615234	
102	1.11816	102	0.576172	102	0.722656	
103	1.15234	103	0.649414	103	0.825195	
104	1.17676	104	0.717773	104	0.927734	
105	1.19629	105	0.786133	105	1.03516	
106	1.2207	106	0.844727	106	1.11816	
107	1.23047	107	0.908203	107	1.20117	
108	1.23047	108	0.957031	108	1.26465	
109	1.23047	109	1.00586	109	1.32324	
110	1.2207	110	1.05469	110	1.36719	
111	1.20605	111	1.09375	111	1.41113	
112	1.19141	112	1.12793	112	1.43066	
113	1.17188	113	1.16211	113	1.42578	
114	1.1377	114	1.19141	114	1.41602	
115	1.09863	115	1.20605	115	1.3916	
116	1.05957	116	1.22559	116	1.36719	
117	1.02051	117	1.23535	117	1.31348	
118	0.97168	118	1.24023	118	1.24023	
119	0.917969	119	1.23535	119	1.17676	
120	0.864258	120	1.22559	120	1.0791	
121	0.800781	121	1.2207	121	0.986328	
122	0.737305	122	1.20117	122	0.888672	
123	0.668945	123	1.18164	123	0.786133	
124	0.600586	124	1.15234	124	0.678711	
125	0.522461	125	1.11328	125	0.566406	
126	0.444336	126	1.0791	126	0.463867	
127	0.366211	127	1.03516	127	0.366211	
128	0.288086	128	0.991211	128	0.258789	
129	0.200195	129	0.9375	129	0.166016	
130	0.126953	130	0.878906	130	0.0732422	
131	0.0390625	131	0.820312	131	0.00488281	
132	-0.0390625	132	0.761719	132	-0.0683594	
133	-0.126953	133	0.698242	133	-0.117187	
134	-0.205078	134	0.625	134	-0.161133	
135	-0.292969	135	0.556641	135	-0.19043	
136	-0.371094	136	0.478516	136	-0.200195	
137	-0.454102	137	0.405273	137	-0.205078	
138	-0.527344	138	0.322266	138	-0.180664	
139	-0.600586	139	0.244141	139	-0.15625	
140	-0.673828	140	0.166016	140	-0.102539	
141	-0.742187	141	0.0830078	141	-0.0537109	
142	-0.810547	142	-0.00488281	142	0.00976562	
143	-0.869141	143	-0.078125	143	0.0976562	
144	-0.932617	144	-0.166016	144	0.175781	
145	-0.986328	145	-0.244141	145	0.27832	
146	-1.03516	146	-0.322266	146	0.380859	
147	-1.08398	147	-0.405273	147	0.483398	
148	-1.12305	148	-0.473633	148	0.595703	
149	-1.15723	149	-0.546875	149	0.698242	
150	-1.18652	150	-0.620117	150	0.805664	
151	-1.21582	151	-0.683594	151	0.913086	
152	-1.23535	152	-0.751953	152	1.01074	
153	-1.25488	153	-0.810547	153	1.10352	
154	-1.26465	154	-0.874023	154	1.18652	
155	-1.26465	155	-0.927734	155	1.25977	
156	-1.26465	156	-0.97168	156	1.30859	
157	-1.25488	157	-1.02051	157	1.3623	
158	-1.24512	158	-1.05957	158	1.40137	
159	-1.22559	159	-1.09863	159	1.42578	
160	-1.20117	160	-1.12793	160	1.42578	
161	-1.17676	161	-1.15723	161	1.41602	
162	-1.1377	162	-1.17676	162	1.3916	
163	-1.09863	163	-1.19629	163	1.3623	
164	-1.05957	164	-1.20117	164	1.30859	
165	-1.01074	165	-1.20605	165	1.25488	
166	-0.952148	166	-1.20117	166	1.18652	
167	-0.893555	167	-1.19629	167	1.09375	
168	-0.839844	168	-1.18652	168	1.00586	
169	-0.771484	169	-1.16211	169	0.908203	
170	-0.703125	170	-1.14746	170	0.800781	
171	-0.634766	171	-1.11816	171	0.693359	
172	-0.561523	172	-1.0791	172	0.59082	
173	-0.478516	173	-1.0498	173	0.488281	
174	-0.400391	174	-1.00098	174	0.385742	
175	-0.322266	175	-0.957031	175	0.27832	
176	-0.239258	176	-0.908203	176	0.185547	
177	-0.161133	177	-0.849609	177	0.0976562	
178	-0.0732422	178	-0.791016	178	0.0292969	
179	0.00488281	179	-0.732422	179	-0.0439453	
180	0.0878906	180	-0.664062	180	-0.0878906	
181	0.166016	181	-0.59082	181	-0.131836	
182	0.253906	182	-0.522461	182	-0.15625	
183	0.332031	183	-0.444336	183	-0.175781	
184	0.415039	184	-0.371094	184	-0.166016	
185	0.488281	185	-0.288086	185	-0.151367	
186	0.566406	186	-0.209961	186	-0.126953	
187	0.639648	187	-0.131836	187	-0.0830078	
188	0.708008	188	-0.0488281	188	-0.0244141	
189	0.776367	189	0.0341797	189	0.0341797	
190	0.834961	190	0.112305	190	0.117187	
191	0.893555	191	0.200195	191	0.205078	
192	0.952148	192	0.27832	192	0.307617	
193	1.00098	193	0.351562	193	0.405273	
194	1.0498	194	0.439453	194	0.507812	
195	1.08887	195	0.507812	195	0.625	
196	1.11816	196	0.581055	196	0.727539	
197	1.15234	197	0.649414	197	0.834961	
198	1.17676	198	0.717773	198	0.932617	
199	1.19629	199	0.786133	199	1.03027	
200	1.21582	200	0.839844	200	1.11816	
201	1.22559	201	0.913086	201	1.19629	
202	1.22559	202	0.957031	202	1.26953	
203	1.22559	203	1.00586	203	1.32813	
204	1.21582	204	1.05469	204	1.37695	
205	1.20605	205	1.09375	205	1.40137	
206	1.18652	206	1.13281	206	1.42578	
207	1.16699	207	1.15723	207	1.42578	
208	1.1377	208	1.19141	208	1.41602	
209	1.09863	209	1.21094	209	1.40137	
210	1.05957	210	1.23047	210	1.36719	
211	1.02051	211	1.24023	211	1.30859	
212	0.97168	212	1.24023	212	1.24512	
213	0.917969	213	1.23535	213	1.16699	
214	0.859375	214	1.23047	214	1.08887	
215	0.795898	215	1.21582	215	0.986328	
216	0.732422	216	1.20117	216	0.888672	
217	0.664062	217	1.17676	217	0.786133	
218	0.600586	218	1.15234	218	0.673828	
219	0.522461	219	1.11328	219	0.566406	
220	0.444336	220	1.0791	220	0.463867	
221	0.366211	221	1.03516	221	0.351562	
222	0.288086	222	0.986328	222	0.249023	
223	0.200195	223	0.9375	223	0.161133	
224	0.12207	224	0.883789	224	0.0732422	
225	0.0341797	225	0.825195	225	0.00488281	
226	-0.0439453	226	0.761719	226	-0.0732422	
227	-0.126953	227	0.693359	227	-0.117187	
228	-0.205078	228	0.620117	228	-0.161133	
229	-0.292969	229	0.556641	229	-0.19043	
230	-0.371094	230	0.478516	230	-0.209961	
231	-0.449219	231	0.400391	231	-0.209961	
232	-0.527344	232	0.322266	232	-0.180664	
233	-0.605469	233	0.239258	233	-0.151367	
234	-0.673828	234	0.161133	234	-0.107422	
235	-0.74707	235	0.078125	235	-0.0634766	
236	-0.81543	236	-0.00488281	236	0.0195312	
237	-0.874023	237	-0.078125	237	0.0976562	
238	-0.932617	238	-0.170898	238	0.180664	
239	-0.991211	239	-0.244141	239	0.27832	
240	-1.04004	240	-0.322266	240	0.385742	
241	-1.08887	241	-0.405273	241	0.488281	
242	-1.12793	242	-0.473633	242	0.595703	
243	-1.15723	243	-0.546875	243	0.703125	
244	-1.19141	244	-0.620117	244	0.810547	
245	-1.21582	245	-0.688477	245	0.913086	
246	-1.23535	246	-0.751953	246	1.01074	
247	-1.25488	247	-0.810547	247	1.09863	
248	-1.26465	248	-0.878906	248	1.18652	
249	-1.26465	249	-0.922852	249	1.26465	
250	-1.26465	250	-0.97168	250	1.31836	
251	-1.25488	251	-1.02051	251	1.36719	
252	-1.24512	252	-1.05957	252	1.40137	
253	-1.22559	253	-1.09863	253	1.4209	
254	-1.20117	254	-1.12793	254	1.42578	
255	-1.17188	255	-1.15723	255	1.4209	
256	-1.1377	256	-1.17676	256	1.39648	
257	-1.09863	257	-1.19141	257	1.36719	
258	-1.05957	258	-1.20605	258	1.31836	
259	-1.01074	259	-1.20605	259	1.25	
260	-0.952148	260	-1.20605	260	1.17676	
261	-0.893555	261	-1.19629	261	1.08887	
262	-0.834961	262	-1.18652	262	1.00098	
263	-0.771484	263	-1.16699	263	0.898437	
264	-0.703125	264	-1.14746	264	0.795898	
265	-0.629883	265	-1.11816	265	0.698242	
266	-0.556641	266	-1.0791	266	0.59082	
267	-0.483398	267	-1.0498	267	0.483398	
268	-0.400391	268	-1.00098	268	0.385742	
269	-0.322266	269	-0.952148	269	0.283203	
270	-0.239258	270	-0.90332	270	0.180664	
271	-0.161133	271	-0.849609	271	0.102539	
272	-0.0683594	272	-0.791016	272	0.0292969	
273	0.00976562	273	-0.727539	273	-0.0390625	
274	0.0927734	274	-0.664062	274	-0.0878906	
275	0.170898	275	-0.585937	275	-0.126953	
276	0.253906	276	-0.522461	276	-0.161133	
277	0.336914	277	-0.444336	277	-0.175781	
278	0.415039	278	-0.371094	278	-0.170898	
279	0.488281	279	-0.288086	279	-0.151367	
280	0.566406	280	-0.209961	280	-0.126953	
281	0.639648	281	-0.131836	281	-0.0830078	
282	0.708008	282	-0.0439453	282	-0.0244141	
283	0.776367	283	0.0341797	283	0.0488281	
284	0.839844	284	0.112305	284	0.117187	
285	0.898437	285	0.200195	285	0.209961	
286	0.952148	286	0.273437	286	0.307617	
287	1.00098	287	0.351562	287	0.400391	
288	1.0498	288	0.43457	288	0.522461	
289	1.08887	289	0.50293	289	0.620117	
290	1.11816	290	0.581055	290	0.722656	
291	1.15723	291	0.654297	291	0.830078	
292	1.17676	292	0.722656	292	0.927734	
293	1.19629	293	0.786133	293	1.02539	
294	1.21582	294	0.839844	294	1.11816	
295	1.22559	295	0.908203	295	1.20117	
296	1.22559	296	0.957031	296	1.27441	
297	1.22559	297	1.00586	297	1.32813	
298	1.21582	298	1.05469	298	1.36719	
299	1.20605	299	1.09375	299	1.40625	
300	1.18652	300	1.13281	300	1.42578	
301	1.16211	301	1.16211	301	1.42578	
302	1.13281	302	1.18652	302	1.41602	
303	1.09863	303	1.20605	303	1.3916	
304	1.05957	304	1.22559	304	1.3623	
305	1.02051	305	1.24023	305	1.30371	
306	0.97168	306	1.23535	306	1.24023	
307	0.913086	307	1.23535	307	1.16699	
308	0.854492	308	1.22559	308	1.0791	
309	0.795898	309	1.21582	309	0.996094	
310	0.727539	310	1.19629	310	0.888672	
311	0.65918	311	1.18164	311	0.78125	
312	0.595703	312	1.15234	312	0.683594	
313	0.517578	313	1.11328	313	0.566406	
314	0.444336	314	1.08398	314	0.458984	
315	0.361328	315	1.03516	315	0.356445	
316	0.288086	316	0.986328	316	0.253906	
317	0.200195	317	0.9375	317	0.15625	
318	0.117187	318	0.878906	318	0.0683594	
319	0.0341797	319	0.820312	319	0.00976562	
320	-0.0488281	320	0.756836	320	-0.0683594	
321	-0.131836	321	0.693359	321	-0.117187	
322	-0.209961	322	0.625	322	-0.161133	
323	-0.297852	323	0.551758	323	-0.19043	
324	-0.375977	324	0.478516	324	-0.209961	
325	-0.454102	325	0.400391	325	-0.200195	
326	-0.527344	326	0.322266	326	-0.180664	
327	-0.605469	327	0.239258	327	-0.15625	
328	-0.678711	328	0.161133	328	-0.107422	
329	-0.74707	329	0.078125	329	-0.0488281	
330	-0.81543	330	-0.00488281	330	0.0195312	
331	-0.874023	331	-0.0830078	331	0.0976562	
332	-0.932617	332	-0.166016	332	0.180664	
333	-0.991211	333	-0.244141	333	0.27832	
334	-1.04004	334	-0.317383	334	0.390625	
335	-1.08887	335	-0.405273	335	0.483398	
336	-1.12793	336	-0.473633	336	0.600586	
337	-1.15723	337	-0.551758	337	0.708008	
338	-1.19141	338	-0.625	338	0.805664	
339	-1.21582	339	-0.688477	339	0.917969	
340	-1.23535	340	-0.756836	340	1.01563	
341	-1.25488	341	-0.810547	341	1.09863	
