Time - Plot 0	Amplitude - Plot 0	
0	-0.449219	
1	-0.439453	
2	-0.427246	
3	-0.415039	
4	-0.402832	
5	-0.390625	
6	-0.378418	
7	-0.36377	
8	-0.354004	
9	-0.341797	
10	-0.32959	
11	-0.317383	
12	-0.305176	
13	-0.292969	
14	-0.280762	
15	-0.270996	
16	-0.258789	
17	-0.244141	
18	-0.231934	
19	-0.219727	
20	-0.209961	
21	-0.197754	
22	-0.183105	
23	-0.17334	
24	-0.161133	
25	-0.148926	
26	-0.136719	
27	-0.124512	
28	-0.112305	
29	-0.100098	
30	-0.0878906	
31	-0.0756836	
32	-0.0634766	
33	-0.0512695	
34	-0.0390625	
35	-0.0292969	
36	-0.0170898	
37	-0.00488281	
38	0.00732422	
39	0.0195312	
40	0.0317383	
41	0.0439453	
42	0.0561523	
43	0.0683594	
44	0.0805664	
45	0.0927734	
46	0.10498	
47	0.117187	
48	0.117187	
49	0.10498	
50	0.0927734	
51	0.0805664	
52	0.0708008	
53	0.0561523	
54	0.0463867	
55	0.0341797	
56	0.0219727	
57	0.00976562	
58	-0.00244141	
59	-0.0146484	
60	-0.0268555	
61	-0.0366211	
62	-0.0488281	
63	-0.0610352	
64	-0.0732422	
65	-0.0854492	
66	-0.0976562	
67	-0.109863	
68	-0.12207	
69	-0.134277	
70	-0.146484	
71	-0.158691	
72	-0.170898	
73	-0.180664	
74	-0.195312	
75	-0.205078	
76	-0.217285	
77	-0.231934	
78	-0.241699	
79	-0.253906	
80	-0.266113	
81	-0.27832	
82	-0.290527	
83	-0.302734	
84	-0.314941	
85	-0.327148	
86	-0.339355	
87	-0.351562	
88	-0.36377	
89	-0.375977	
90	-0.388184	
91	-0.400391	
92	-0.412598	
93	-0.424805	
94	-0.437012	
95	-0.449219	
96	-0.461426	
97	-0.473633	
98	-0.48584	
99	-0.498047	
100	-0.510254	
101	-0.522461	
102	-0.534668	
103	-0.546875	
104	-0.559082	
105	-0.571289	
106	-0.583496	
107	-0.595703	
108	-0.60791	
109	-0.617676	
110	-0.632324	
111	-0.620117	
112	-0.610352	
113	-0.598145	
114	-0.585937	
115	-0.571289	
116	-0.561523	
117	-0.546875	
118	-0.537109	
119	-0.522461	
120	-0.510254	
121	-0.498047	
122	-0.48584	
123	-0.473633	
124	-0.461426	
125	-0.45166	
126	-0.439453	
127	-0.427246	
128	-0.412598	
129	-0.402832	
130	-0.390625	
131	-0.375977	
132	-0.36377	
133	-0.351562	
134	-0.341797	
135	-0.32959	
136	-0.317383	
137	-0.305176	
138	-0.292969	
139	-0.280762	
140	-0.268555	
141	-0.256348	
142	-0.244141	
143	-0.234375	
144	-0.219727	
145	-0.20752	
146	-0.197754	
147	-0.185547	
148	-0.170898	
149	-0.161133	
150	-0.148926	
151	-0.136719	
152	-0.124512	
153	-0.112305	
154	-0.100098	
155	-0.0878906	
156	-0.0756836	
157	-0.0634766	
158	-0.0512695	
159	-0.0390625	
160	-0.0268555	
161	-0.0146484	
162	-0.00244141	
163	0.00732422	
164	0.0195312	
165	0.0317383	
166	0.0439453	
167	0.0561523	
168	0.0683594	
169	0.0805664	
170	0.0927734	
171	0.10498	
172	0.117187	
173	0.117187	
174	0.10498	
175	0.0927734	
176	0.0805664	
177	0.0708008	
178	0.0585937	
179	0.0463867	
180	0.0341797	
181	0.0219727	
182	0.00976562	
183	-0.00244141	
184	-0.0146484	
185	-0.0268555	
186	-0.0366211	
187	-0.0488281	
188	-0.0610352	
189	-0.0732422	
190	-0.0854492	
191	-0.0976562	
192	-0.109863	
193	-0.12207	
194	-0.134277	
195	-0.144043	
196	-0.15625	
197	-0.168457	
198	-0.180664	
199	-0.192871	
200	-0.205078	
201	-0.217285	
202	-0.229492	
203	-0.241699	
204	-0.253906	
205	-0.266113	
206	-0.27832	
207	-0.290527	
208	-0.300293	
209	-0.314941	
210	-0.327148	
211	-0.339355	
212	-0.349121	
213	-0.36377	
214	-0.375977	
215	-0.388184	
216	-0.400391	
217	-0.412598	
218	-0.424805	
219	-0.437012	
220	-0.449219	
221	-0.461426	
222	-0.473633	
223	-0.483398	
224	-0.498047	
225	-0.510254	
226	-0.522461	
227	-0.534668	
228	-0.546875	
229	-0.559082	
230	-0.568848	
231	-0.583496	
232	-0.595703	
233	-0.60791	
234	-0.617676	
235	-0.632324	
236	-0.620117	
237	-0.60791	
238	-0.595703	
239	-0.583496	
240	-0.571289	
241	-0.559082	
242	-0.546875	
243	-0.534668	
244	-0.522461	
245	-0.510254	
246	-0.498047	
247	-0.48584	
248	-0.473633	
249	-0.461426	
250	-0.449219	
251	-0.437012	
252	-0.424805	
253	-0.412598	
254	-0.400391	
255	-0.388184	
256	-0.375977	
257	-0.36377	
258	-0.351562	
259	-0.339355	
260	-0.327148	
261	-0.317383	
262	-0.302734	
263	-0.292969	
264	-0.280762	
265	-0.268555	
266	-0.256348	
267	-0.244141	
268	-0.231934	
269	-0.219727	
270	-0.20752	
271	-0.195312	
272	-0.183105	
273	-0.170898	
274	-0.158691	
275	-0.146484	
276	-0.136719	
277	-0.124512	
278	-0.112305	
279	-0.100098	
280	-0.0878906	
281	-0.0756836	
282	-0.0634766	
283	-0.0512695	
284	-0.0390625	
285	-0.0268555	
286	-0.0146484	
287	-0.00244141	
288	0.00976562	
289	0.0219727	
290	0.0341797	
291	0.0439453	
292	0.0585937	
293	0.0708008	
294	0.0805664	
295	0.0927734	
296	0.10498	
297	0.117187	
298	0.117187	
299	0.10498	
300	0.0952148	
301	0.0830078	
302	0.0708008	
303	0.0585937	
304	0.0463867	
305	0.0341797	
306	0.0219727	
307	0.012207	
308	0	
309	-0.012207	
310	-0.0244141	
311	-0.0366211	
312	-0.0488281	
313	-0.0610352	
314	-0.0732422	
315	-0.0854492	
316	-0.0976562	
317	-0.109863	
318	-0.12207	
319	-0.134277	
320	-0.144043	
321	-0.15625	
322	-0.168457	
323	-0.180664	
324	-0.192871	
325	-0.205078	
326	-0.217285	
327	-0.229492	
328	-0.241699	
329	-0.253906	
330	-0.266113	
331	-0.27832	
332	-0.290527	
333	-0.302734	
334	-0.314941	
335	-0.327148	
336	-0.339355	
337	-0.351562	
338	-0.36377	
339	-0.375977	
340	-0.388184	
341	-0.400391	
342	-0.412598	
343	-0.424805	
