#time	ch1	delta1	ch2	delta2
972	-0.08227539	0.00121582305822	-0.05263671	0.00395206812174
982	-0.08098144	0.00163426763793	-0.05268553	0.00315271310875
992	-0.08098145	0.00152486585459	-0.05097657	0.00422271164184
1002	-0.07888183	0.00140015073549	-0.05092772	0.00459764356552
1012	-0.07844239	0.00120621694272	-0.04843751	0.00351120712447
1022	-0.07819824	0.00116090032664	-0.04843749	0.00337091184888
1032	-0.07756348	0.00163792325693	-0.04577636	0.00380773629686
1042	-0.07678221	0.00131132880884	-0.04616699	0.00366447127904
1052	-0.07570801	0.001825173798	-0.04499512	0.00393822401491
1062	-0.07543946	0.00157842988074	-0.04245605	0.00329445051541
1072	-0.07416993	0.00146404625204	-0.04350586	0.0045146724741
1082	-0.07326659	0.00205268743088	-0.04294433	0.00374650847298
1092	-0.07131346	0.00106669707246	-0.0411377	0.00445414771623
1102	-0.0720459	0.00138730460534	-0.04279785	0.00389867857543
1112	-0.0717041	0.00119128013918	-0.04140625	0.00345992532036
1122	-0.07236327	0.00220593036021	-0.04016115	0.0033390199494
1132	-0.07106935	0.00109971772856	-0.04052735	0.00319068167082
1142	-0.0701416	0.00152093001548	-0.04011233	0.00345449165089
1152	-0.07028809	0.00167888773445	-0.03942872	0.00391274399183
1162	-0.06921388	0.00128377150132	-0.03898925	0.00372831604595
1172	-0.06987305	0.00137588162009	-0.03911133	0.00391814528292
1182	-0.06999512	0.00135074193597	-0.03884277	0.00407422356923
1192	-0.07004394	0.000985363742178	-0.03894042	0.00402683633658
1202	-0.07121583	0.00179754571182	-0.04020996	0.00382303913901
1212	-0.07138672	0.000901656716051	-0.03850096	0.00306890258047
1222	-0.07075196	0.0017187283114	-0.03894043	0.00350621818233
1232	-0.07109374	0.00161872150427	-0.03940429	0.00358179055821
1242	-0.07121581	0.00157105025601	-0.03916015	0.00395809279407
1252	-0.07141113	0.00220334197166	-0.04030762	0.00427831307429
1262	-0.07265624	0.00171317473785	-0.03901366	0.00316969291673
1272	-0.07272948	0.00147882651099	-0.04121094	0.00293538517854
