#time	ch1	ch2	lambda	delta
1322.0	-0.07568359	-0.04069825	550.0	15.0
1332.0	-0.07526856	-0.03942871	548.0	16.0
1342.0	-0.07785644	-0.03984373	546.0	17.0
1352.0	-0.0782959	-0.04035645	546.0	16.0
1362.0	-0.07963866	-0.0401123	544.0	14.0
1372.0	-0.07968749	-0.04133299	547.0	16.0
1382.0	-0.08127441	-0.04150391	546.0	16.0
1392.0	-0.08156737	-0.04196777	546.0	15.0
1402.0	-0.082959	-0.04135741	544.0	15.0
1412.0	-0.0845215	-0.04008789	541.0	17.0
1422.0	-0.08479005	-0.0411377	542.0	14.0
1432.0	-0.08503417	-0.04106446	542.0	16.0
1442.0	-0.08562013	-0.0409424	541.0	12.0
1452.0	-0.08686522	-0.04174805	541.0	15.0
1462.0	-0.08666993	-0.04128417	541.0	14.0
1472.0	-0.08867188	-0.0409668	539.0	15.0
1482.0	-0.08930662	-0.04143067	539.0	14.0
1492.0	-0.09008787	-0.04118651	538.0	12.0
1502.0	-0.08940428	-0.04177247	539.0	15.0
1512.0	-0.09199218	-0.0421875	538.0	14.0
1522.0	-0.09245606	-0.04301758	539.0	12.0
1532.0	-0.09282228	-0.04189454	537.0	14.0
1542.0	-0.09470213	-0.04279785	537.0	12.0
1552.0	-0.0942871	-0.04226075	536.0	14.0
1562.0	-0.09675292	-0.04191893	534.0	14.0
1572.0	-0.0979004	-0.04326171	535.0	13.0
1582.0	-0.09809574	-0.04199219	533.0	12.0
1592.0	-0.09853507	-0.04238281	534.0	15.0
1602.0	-0.09948733	-0.04199217	532.0	12.0
1612.0	-0.10046384	-0.043042	533.0	12.0
1622.0	-0.10241702	-0.04191895	530.0	12.0
1632.0	-0.1047364	-0.04304199	531.0	10.0
1642.0	-0.1042724	-0.04416502	533.0	12.0
1652.0	-0.1054931	-0.042334	529.0	11.0
1662.0	-0.1069091	-0.0451416	532.0	10.0
1672.0	-0.1082277	-0.0435791	530.0	11.0
1682.0	-0.1105223	-0.04370115	529.0	10.0
1692.0	-0.1109375	-0.04396972	529.0	9.0
1702.0	-0.1097655	-0.04257812	528.0	11.0
1712.0	-0.1067627	-0.04250489	529.0	12.0
1722.0	-0.10380855	-0.04111329	529.0	13.0
1732.0	-0.10097668	-0.04003906	529.0	12.0
1742.0	-0.0993164	-0.03901367	528.0	11.0
1752.0	-0.09606934	-0.03676759	527.0	14.0
1762.0	-0.09326173	-0.03647461	528.0	12.0
1772.0	-0.09152831	-0.03540039	527.0	13.0
1782.0	-0.08884277	-0.03381349	526.0	11.0
1792.0	-0.0873779	-0.03422852	528.0	15.0
1802.0	-0.08503418	-0.03266603	527.0	17.0
1812.0	-0.08366699	-0.0324707	528.0	15.0
1822.0	-0.08208007	-0.03034669	525.0	15.0
1832.0	-0.08037109	-0.02976075	525.0	13.0
1842.0	-0.07854005	-0.02922362	525.0	16.0
1852.0	-0.07729492	-0.0272461	522.0	16.0
1862.0	-0.0749756	-0.02761231	524.0	15.0
1872.0	-0.07341308	-0.02546387	521.0	14.0
1882.0	-0.07126466	-0.02595215	524.0	20.0
1892.0	-0.07194823	-0.02678222	525.0	17.0
1902.0	-0.06992187	-0.02521973	523.0	17.0
1912.0	-0.06728513	-0.02497559	525.0	20.0
1922.0	-0.06706543	-0.02456055	524.0	17.0
1932.0	-0.06591797	-0.02260741	520.0	20.0
1942.0	-0.06440429	-0.02324218	523.0	17.0
1952.0	-0.06279297	-0.02236327	522.0	19.0
1962.0	-0.0621582	-0.0210449	520.0	19.0
1972.0	-0.06049806	-0.02072752	520.0	20.0
1982.0	-0.06020508	-0.02124024	522.0	22.0
1992.0	-0.05725098	-0.01999512	521.0	21.0
2002.0	-0.0559082	-0.0184082	518.0	23.0
2012.0	-0.05422363	-0.01835938	520.0	19.0
2022.0	-0.05383301	-0.01762694	518.0	22.0
2032.0	-0.05107422	-0.01655274	517.0	23.0
2042.0	-0.05021971	-0.01633301	518.0	25.0
2052.0	-0.04853516	-0.01679689	521.0	32.0
2062.0	-0.04558104	-0.01520996	519.0	31.0
2072.0	-0.04440918	-0.01386719	515.0	34.0
2082.0	-0.04436036	-0.015722644	522.0	30.0
2092.0	-0.04399414	-0.013061528	513.0	29.0
2102.0	-0.04287109	-0.012133792	511.0	31.0
2112.0	-0.04235839	-0.0126709	513.0	23.0
2122.0	-0.04155273	-0.009936525	503.0	20.0
2132.0	-0.03940429	-0.011865242	514.0	39.0
2142.0	-0.04140625	-0.0116455	511.0	30.0
2152.0	-0.03818359	-0.011669923	514.0	40.0
2162.0	-0.03872071	-0.011254877	512.0	34.0
2172.0	-0.03784179	-0.010961903	512.0	33.0
2182.0	-0.03806154	-0.012499991	518.0	39.0
2192.0	-0.03864746	-0.00976562	506.0	31.0
2202.0	-0.0378174	-0.011718746	515.0	36.0
2212.0	-0.03837891	-0.010766602	511.0	33.0
